"English","Georgian","Status","CandidateCount"
"Abanotubani","","unmatched","0"
"Abasha Municipality","System.Collections.Hashtable","verified","1"
"Abkhazia Autonomous Republic","","unmatched","0"
"Abroad","","unmatched","0"
"Adigeni Municipality","System.Collections.Hashtable","verified","1"
"Afrika","","unmatched","0"
"Agaraki","აგარაკი","verified","1"
"Aghmashenebeli Settlement","","unmatched","0"
"Agmashenebeli District","აღმაშენებელი","verified","1"
"Airport","","ambiguous","2"
"Airport District","System.Collections.Hashtable","verified","1"
"Airport village","","unmatched","0"
"Akhaldaba","ახალდაბა","verified","1"
"Akhalgori Municipality","ახალგორი","verified","1"
"Akhalkalaki Municipality","System.Collections.Hashtable","verified","1"
"Akhaltsikhe Municipality","System.Collections.Hashtable","verified","1"
"Akhmeta Municipality","System.Collections.Hashtable","verified","1"
"Ambrolauri Municipality","System.Collections.Hashtable","verified","1"
"Asatiani Settlement","","unmatched","0"
"Aspindza Municipality","System.Collections.Hashtable","verified","1"
"Avangardi Settlement","","unmatched","0"
"Avchala","ავჭალა","verified","1"
"Avlabari","ავლაბარი","verified","1"
"Avtokarkhana Settlement","ავტოქარხანა","verified","1"
"Bagebi","ბაგები","verified","1"
"Baghdati Municipality","System.Collections.Hashtable","verified","1"
"Bagrationi District","","unmatched","0"
"Balakhvani","","unmatched","0"
"Batumi","ბათუმი","verified","1"
"Betania","ბეთანია","verified","1"
"Bolnisi Municipality","System.Collections.Hashtable","verified","1"
"Boni-Gorodok District","","unmatched","0"
"Borjomi Municipality","System.Collections.Hashtable","verified","1"
"Bzholebi","ბჟოლები","verified","1"
"Chavchavadze settlement","","unmatched","0"
"Chiatura Municipality","System.Collections.Hashtable","verified","1"
"Chokhatauri Municipality","System.Collections.Hashtable","verified","1"
"Choma","ჭომა","verified","1"
"Chugureti","ჩუღურეთის რაიონი","verified","1"
"Dampalo village","","unmatched","0"
"Dedoplistskaro Municipality","დედოფლისწყარო","verified","1"
"Didgori","დიდგორი","verified","1"
"Didi Digomi","","unmatched","0"
"Didi Lilo","დიდი ლილო","verified","1"
"Didube","","ambiguous","2"
"Digomi","","unmatched","0"
"Digomi 1-9","","unmatched","0"
"Digomi Village","","unmatched","0"
"District of Vazha-Pshavela","","unmatched","0"
"Dmanisi Municipality","System.Collections.Hashtable","verified","1"
"Dusheti Municipality","System.Collections.Hashtable","verified","1"
"Elfia","","unmatched","0"
"Elia","ელია","verified","1"
"Gabashvili Hill","","unmatched","0"
"Gardabni Municipality","","unmatched","0"
"Georgia","საქართველო","verified","1"
"Giorgitsminda","გიორგიწმინდა","verified","1"
"Gldani","გლდანის რაიონი","verified","1"
"Gldani Village","","unmatched","0"
"Gldanula","გლდანულა","verified","1"
"Gora Sakuslia","","unmatched","0"
"Gori","","ambiguous","2"
"Gori Municipality","System.Collections.Hashtable","verified","1"
"Gumathesi","გუმათჰესი","verified","1"
"Gurjaani Municipality","System.Collections.Hashtable","verified","1"
