"English","Normalized","Georgian","Status","CandidateCount"
"(Ivertubani)","ivertubani","ივერთუბნის ქუჩა","exact","1"
"13 Asureli Mamis st.","13 asureli mamis","","unmatched","0"
"17 Shindiseli gmiri st.","17 shindiseli gmiri","17 შინდისელი გმირის ქუჩა","exact","1"
"26 Maisi st.","26 maisi","26 მაისის ქუჩა","exact","1"
"26 May Square","26 may","","ambiguous","2"
"4000 Meskhi st.","4000 meskhi","","unmatched","0"
"8 march st.","8 march","8 მარტის ქუჩა","exact","1"
"9 april st.","9 april","","ambiguous","2"
"9 dzma st.","9 dzma","9 ძმის ქუჩა","exact","1"
"A Microdistrict - Gldani","a microdistrict gldani","გლდანის ქუჩა","unique-contained-name","1"
"A. Amaglobeli St.","a amaglobeli","","unmatched","0"
"a. baramidze st.","a baramidze","","unmatched","0"
"A. Chxenkeli st.","a chxenkeli","","unmatched","0"
"A. Dadiani st.","a dadiani","დადიანის ქუჩა","unique-contained-name","1"
"a. gelovani st.","a gelovani","გელოვანის ქუჩა","unique-contained-name","1"
"a. janelidze st.","a janelidze","ჯანელიძის ქუჩა","unique-contained-name","1"
"a. jordania st.","a jordania","ჟორდანიას ქუჩა","unique-contained-name","1"
"a. katalikosi dead end","a katalikosi dead end","","unmatched","0"
"a. kereseliZi st.","a kereselizi","","unmatched","0"
"a. kutateladze st.","a kutateladze","ქუთათელაძის ქუჩა","unique-contained-name","1"
"a. managadze st.","a managadze","","unmatched","0"
"a. shengelaia st.","a shengelaia","","unmatched","0"
"A. Vasadze st.","a vasadze","","unmatched","0"
"A.Andronikashvili st.","a andronikashvili","ანდრონიკაშვილის ქუჩა","unique-contained-name","1"
"A.Bakradze st.","a bakradze","ბაქრაძის ქუჩა","unique-contained-name","1"
"A.kalandaze st.","a kalandaze","","unmatched","0"
"A.Mgeladze st.","a mgeladze","მგელაძის ქუჩა","unique-contained-name","1"
"a.qurdiani st.","a qurdiani","","unmatched","0"
"a.wereTlis avenue","a weretlis","","unmatched","0"
"Abano I dead end","abano i dead end","აბანოს ქუჩა","unique-contained-name","1"
"Abano II Cikhi","abano ii cikhi","აბანოს ქუჩა","unique-contained-name","1"
"Abano st.","abano","აბანოს ქუჩა","exact","1"
"abasha st.","abasha","აბაშის ქუჩა","exact","1"
"Abashidze-Orbeliani st.","abashidze orbeliani","","ambiguous","3"
"Abashvili st.","abashvili","გიორგი აბაშვილის ქუჩა","unique-contained-name","1"
"abastumani st.","abastumani","","ambiguous","3"
"abesadze st.","abesadze","აბესაძის ქუჩა","exact","1"
"abesuridze tbeli st.","abesuridze tbeli","","unmatched","0"
"abo tbileli st.","abo tbileli","","unmatched","0"
"abovian st.","abovian","ხაჩატურ აბოვიანის ქუჩა","unique-contained-name","1"
"Abramishvili st.","abramishvili","","ambiguous","5"
"Abuladze st.","abuladze","","ambiguous","4"
"abuli st.","abuli","აბულის ქუჩა","exact","1"
"Achabeti St.","achabeti","აჩაბეთის ქუჩა","exact","1"
